apply_day,apply_month,career,city,course_category,course_description,course_name,course_structure,course_webiste,currency,degree_level,domestic_fee,domestic_only,duration,duration_term,fee_term,fee_year,ielts_listening,ielts_overall,ielts_reading,ielts_speaking,ielts_writing,intake_day,intake_month,international_fee,other_requirements,pte_listening,pte_overall,pte_reading,pte_speaking,pte_writing,study_load,study_mode,toefl_listening,toefl_overall,toefl_reading,toefl_speaking,toefl_writing
8,december,"<div class=""text"">
            




    
    
        <p>You must complete a total of 855 points:</p>

<ul style=""list-style-position: inside;"">
<li>375 points from the BAdvSci(Hons)</li>
<li>465 points from the LLB(Hons)</li>
<li>15 points from General Education</li>
</ul>

<p>You will need to choose one specialisation for the BAdvSci(Hons) component of your conjoint. You can also choose to take one or more modules available in the Bachelor of Science Schedule.</p>

<p>In your first year, you must complete three Stage I core LLB courses, and five Stage I courses for the BAdvSci(Hons).</p>

<p>You will continue to take a mix of Law courses and Science courses in each of the following years. You must include a General Education course in one of those years.</p>

<p>The LLB(Hons) includes a combination of core courses. There is also a wide range of elective courses, including Corporate and Commercial, Public, Criminal, International, Family and Environmental Law.</p>

<p>The Honours component of the LLB involves an additional 20-point Honours seminar course in your Part III year and a 40-point dissertation in the semester immediately following the completion of your Part IV year.</p>

<p>In your final year of the BAdvSci(Hons), you’ll enrol in a range of postgraduate-level courses from your specialisation, and you’ll complete your own research project in collaboration with one of our researchers.<br>
<br>
You will probably enrol in nine 15-point courses (135 points) each year if you want to complete in seven years. You need to maintain a Grade Point Average of 5.0 each year to continue with your conjoint.</p>



    
    


        </div>",City,Auckland Law School / Science,We have designed the Bachelor of Advanced Science (Honours) with budding scientists in mind. It’s for students who want to pursue postgraduate research.,Bachelor of Advanced Science (Honours) / Bachelor of Laws (Honours) Conjoint ,"<div class=""text"">
            




    
    
        <p>You must complete a total of 855 points:</p>

<ul style=""list-style-position: inside;"">
<li>375 points from the BAdvSci(Hons)</li>
<li>465 points from the LLB(Hons)</li>
<li>15 points from General Education</li>
</ul>

<p>You will need to choose one specialisation for the BAdvSci(Hons) component of your conjoint. You can also choose to take one or more modules available in the Bachelor of Science Schedule.</p>

<p>In your first year, you must complete three Stage I core LLB courses, and five Stage I courses for the BAdvSci(Hons).</p>

<p>You will continue to take a mix of Law courses and Science courses in each of the following years. You must include a General Education course in one of those years.</p>

<p>The LLB(Hons) includes a combination of core courses. There is also a wide range of elective courses, including Corporate and Commercial, Public, Criminal, International, Family and Environmental Law.</p>

<p>The Honours component of the LLB involves an additional 20-point Honours seminar course in your Part III year and a 40-point dissertation in the semester immediately following the completion of your Part IV year.</p>

<p>In your final year of the BAdvSci(Hons), you’ll enrol in a range of postgraduate-level courses from your specialisation, and you’ll complete your own research project in collaboration with one of our researchers.<br>
<br>
You will probably enrol in nine 15-point courses (135 points) each year if you want to complete in seven years. You need to maintain a Grade Point Average of 5.0 each year to continue with your conjoint.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/undergraduate-study-options/conjoint-programmes/bachelor-advanced-science-honours-bachelor-laws-honours1.html,NZD,Undergraduate,"7,022.70",True,7,years,year,2020,5.5,6.0,5.5,5.5,5.5,"1,28","march,february",,,42,50,42,42,42,Both,,21,80,21,21,21
1,october,"<div class=""text"">
            




    
    
        <ul>
<li>The BPharm is a four year full time degree (480 points).</li>
<li>Students enter into Part II, having already completed core courses in biological sciences, medical science and population health (60 points), plus courses prescribed for one other undergraduate degree at the University (45 points), and one course (15 points) from the General Education Schedule. </li>
<li>Year Two (Part II) requires three courses focused on pharmaceutical science and practice (120 points). There is also an English language competency requirement which must be met.</li>
<li>Year Three (Part III) has two core courses on drug treatments for various diseases (120 points).</li>
<li>Year Four (Part IV) requires completion of a dissertation (30 points) and two core courses (90 points).</li>
<li>A series of practice placements enables students to gain experience in appropriate clinical settings under the guidance of experienced pharmacists.</li>
<li>After graduation, a year long pre-registration training programme is administered by the Pharmaceutical Society of New Zealand under the supervision of a registered pharmacist.</li>
<li>Registration as a pharmacist occurs after successful completion of this year.</li>
</ul>



    
    


        </div>",Grafton,Medical and Health Sciences,"The Bachelor of Pharmacy is developed in consultation with leading New Zealand pharmacists, and the degree reflects the needs of contemporary and future pharmacy practice.",Bachelor of Pharmacy ,"<div class=""text"">
            




    
    
        <ul>
<li>The BPharm is a four year full time degree (480 points).</li>
<li>Students enter into Part II, having already completed core courses in biological sciences, medical science and population health (60 points), plus courses prescribed for one other undergraduate degree at the University (45 points), and one course (15 points) from the General Education Schedule. </li>
<li>Year Two (Part II) requires three courses focused on pharmaceutical science and practice (120 points). There is also an English language competency requirement which must be met.</li>
<li>Year Three (Part III) has two core courses on drug treatments for various diseases (120 points).</li>
<li>Year Four (Part IV) requires completion of a dissertation (30 points) and two core courses (90 points).</li>
<li>A series of practice placements enables students to gain experience in appropriate clinical settings under the guidance of experienced pharmacists.</li>
<li>After graduation, a year long pre-registration training programme is administered by the Pharmaceutical Society of New Zealand under the supervision of a registered pharmacist.</li>
<li>Registration as a pharmacist occurs after successful completion of this year.</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-pharmacy-bpharm.html,NZD,Undergraduate,"8,101.20",False,4,years,year,2020,5.5,6.0,5.5,5.5,5.5,"1,28","march,february","44,310",,42,50,42,42,42,Full Time,,21,80,21,21,21
"1,1","february,july","<div class=""text"">
            




    
    
        
<p>The MBA programme is taught on a quarter-based system for the duration of the programme. Each quarter consists of classes delivered in weeks 1-10, assessments held in week 11, and week 12 is a break week. Classes are delivered in weekend block format on a Friday afternoon and evening, and all day Saturday. <br>
<br>
In the final quarter of the MBA programme you will have a practical opportunity to work alongside a New Zealand or international business in an advisory capacity, to develop strategic recommendations for growth locally and/or internationally. This quarter may also involve an international business trip. <a href=""http://www.mba.auckland.ac.nz/our-mba-programme/domestic-students"" target=""_blank"">Find out about MBA courses</a></p>



    
    


        </div>",City,Business School,"Future growth and economic prosperity will be driven by leaders who have the skills and knowledge to inspire excellence, growth and change while navigating a complex world. These are the skills and knowledge that are at the core of a University of Auckland MBA.",Master of Business Administration ,"<div class=""text"">
            




    
    
        
<p>The MBA programme is taught on a quarter-based system for the duration of the programme. Each quarter consists of classes delivered in weeks 1-10, assessments held in week 11, and week 12 is a break week. Classes are delivered in weekend block format on a Friday afternoon and evening, and all day Saturday. <br>
<br>
In the final quarter of the MBA programme you will have a practical opportunity to work alongside a New Zealand or international business in an advisory capacity, to develop strategic recommendations for growth locally and/or internationally. This quarter may also involve an international business trip. <a href=""http://www.mba.auckland.ac.nz/our-mba-programme/domestic-students"" target=""_blank"">Find out about MBA courses</a></p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-business-administration-mba.html,NZD,Postgraduate,"28,352.40",True,,Varies,year,2020,6.0,6.5,6.0,6.0,6.0,"28,29","september,march",,"<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4> </h4>
    </div>
</div>



<div class=""text"">
    <p><b>Domestic applicants:</b></p>

<p>To be eligible to apply for admission to the University of Auckland MBA you must:</p>

<ul style=""list-style-position: inside;"">
<li>Have gained at least three years’ relevant management experience </li>
<li>Successfully complete all application requirements</li>
</ul>



</div></div>",50,58,50,50,50,Part Time,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p>This programme combines courses from both standalone masters programmes. Through taught seminars and studios, you will examine a range of case studies of best urban planning practice, as well as reviewing the influence of physical and social infrastructures, sustainable design practices and urban development.</p>

<p>You’ll be able to explore areas of interest and submit a 15,000 word (approximate) dissertation of personal research.</p>

<p>The programme is structured to facilitate connection with practicing urban planning professionals and urban designers.</p>

<ul>
<li>Core courses: 180 points</li>
<li>Elective course: 15 points</li>
<li>Urban design projects: 60 points</li>
<li>Research dissertation: 45 points</li>
</ul>



    
    


        </div>",City,Creative Arts and Industries,"The Master of Urban Planning (Professional) and Urban Design gives you a sound platform for the realities of contemporary practice. In less time than it takes to complete the two degrees separately, you will gain a professionally-recognised urban planning qualification, and explore the design aspects of buildings, public spaces and networks.",Master of Urban Planning (Professional) and Urban Design ,"<div class=""text"">
            




    
    
        <p>This programme combines courses from both standalone masters programmes. Through taught seminars and studios, you will examine a range of case studies of best urban planning practice, as well as reviewing the influence of physical and social infrastructures, sustainable design practices and urban development.</p>

<p>You’ll be able to explore areas of interest and submit a 15,000 word (approximate) dissertation of personal research.</p>

<p>The programme is structured to facilitate connection with practicing urban planning professionals and urban designers.</p>

<ul>
<li>Core courses: 180 points</li>
<li>Elective course: 15 points</li>
<li>Urban design projects: 60 points</li>
<li>Research dissertation: 45 points</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-urban-planning-professional-and-urban-design-murbplanprofurbdes.html,NZD,Postgraduate,"9,460.80",False,30,months,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","42,814","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 300 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must hold a University of Auckland bachelors or masters degree in a related field, such as (but not limited to) environmental science, politics and international relations, economics, geography or  architecture.</p>

<p>You will need a GPA of 5.0 in at least 90 points from your final year of study.<br>
</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        
<ul>
<li>120 point programme</li>
<li>Advanced taught course topics that cover principles of public health, epidemiology and research methods (45 points)</li>
<li>A selection of courses worth at least 60 points from other courses listed in the <a href=""https://www.fmhs.auckland.ac.nz/en/faculty/for/future-postgraduates/postgraduate-study-options/programmes/masters/master-of-public-health/master-of-public-health-schedule.html"">Master of Public Health Schedule</a></li>
<li>Up to 15 points from other 700 level courses offered at this University.</li>
<li>One year full-time or up to four years part-time</li>
<li>You can complete a generic programme or specialise in Māori Health.</li>
</ul>



    
    


        </div>",Grafton,Medical and Health Sciences,"This diploma provides an advanced understanding of the theoretical and practical issues and the skills to apply these principles in the workplace, research and day-to-day life.",Postgraduate Diploma in Public Health ,"<div class=""text"">
            




    
    
        
<ul>
<li>120 point programme</li>
<li>Advanced taught course topics that cover principles of public health, epidemiology and research methods (45 points)</li>
<li>A selection of courses worth at least 60 points from other courses listed in the <a href=""https://www.fmhs.auckland.ac.nz/en/faculty/for/future-postgraduates/postgraduate-study-options/programmes/masters/master-of-public-health/master-of-public-health-schedule.html"">Master of Public Health Schedule</a></li>
<li>Up to 15 points from other 700 level courses offered at this University.</li>
<li>One year full-time or up to four years part-time</li>
<li>You can complete a generic programme or specialise in Māori Health.</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-diploma-in-public-health-pgdipph.html,NZD,Postgraduate,"8,701.20",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","44,310","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4> </h4>
    </div>
</div>



<div class=""text"">
    <p><b>English language requirements</b></p>

<p>If you are an international applicant whose first language is not English you will need to provide evidence of your English proficiency.</p>


<p>You will require an <b>IELTS Academic</b> score of 6.5 with no bands less than 6.0. <a href=""https://www.auckland.ac.nz/en/study/applications-and-admissions/entry-requirements/postgraduate-entry-requirements/postgraduate-english-language-requirements.html"">See alternative English language requirements</a>.</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
8,december,"<div class=""text"">
            




    
    
        <p>You must complete a total of 660 points:</p>

<ul style=""list-style-position: inside;"">
<li>375 points from the BAdvSci(Hons)</li>
<li>255 points from BMus courses</li>
<li>15 points from General Education</li>
<li>15 points from courses available for any programme</li>
</ul>

<p>You can choose one specialisation for the BAdvSci(Hons) component of your conjoint, and you will usually take four or five BAdvSci(Hons) courses each year. You can also choose to take one or more modules available in the Bachelor of Science Schedule.<br>
For the BMus, the majority of your courses are prescribed for the specialisation you choose. Find out about the music specialisations you can study in your BAdvSci(Hons)/BMus:</p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/classical-performance.html"">Creative Practice: Classical</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/composition.html"">Creative Practice: Composition</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/jazz-performance.html"">Creative Practice: Jazz</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/popular-music.html"">Creative Practice: Popular Music</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/music-studies.html"">Music Studies</a></li>
</ul>

<p>You will probably enrol in nine 15-point courses (135 points) each year if you want to complete in five years. You need to maintain a Grade Point Average of 5.0 each year to continue with your conjoint.</p>



    
    


        </div>",City,Creative Arts and Industries / Science,We designed the Bachelor of Advanced Science (Honours) with budding scientists in mind. It’s for students who want to pursue postgraduate study.,Bachelor of Advanced Science (Honours) / Bachelor of Music Conjoint ,"<div class=""text"">
            




    
    
        <p>You must complete a total of 660 points:</p>

<ul style=""list-style-position: inside;"">
<li>375 points from the BAdvSci(Hons)</li>
<li>255 points from BMus courses</li>
<li>15 points from General Education</li>
<li>15 points from courses available for any programme</li>
</ul>

<p>You can choose one specialisation for the BAdvSci(Hons) component of your conjoint, and you will usually take four or five BAdvSci(Hons) courses each year. You can also choose to take one or more modules available in the Bachelor of Science Schedule.<br>
For the BMus, the majority of your courses are prescribed for the specialisation you choose. Find out about the music specialisations you can study in your BAdvSci(Hons)/BMus:</p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/classical-performance.html"">Creative Practice: Classical</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/composition.html"">Creative Practice: Composition</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/jazz-performance.html"">Creative Practice: Jazz</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/popular-music.html"">Creative Practice: Popular Music</a></li>
<li><a href=""https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/music-studies.html"">Music Studies</a></li>
</ul>

<p>You will probably enrol in nine 15-point courses (135 points) each year if you want to complete in five years. You need to maintain a Grade Point Average of 5.0 each year to continue with your conjoint.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/undergraduate-study-options/conjoint-programmes/bachelor-advanced-science-honours-bachelor-of-music.html,NZD,Undergraduate,"7,022.70",True,5,years,year,2020,5.5,6.0,5.5,5.5,5.5,"1,28","march,february",,,42,50,42,42,42,Both,,21,80,21,21,21
8,december,"<div class=""text"">
            




    
    
        <ul>
<li>60-point programme</li>
<li>Advanced core courses include medicines information and management, critical appraisal and pharmaceutical care (60 points)</li>
</ul>

<p><b>Prescribing</b></p>

<p>A specialisation in Prescribing is also available and has different requirements and courses. You will need to have already completed a Postgraduate Diploma in Clinical Pharmacy or an equivalent qualification to gain entry. </p>

<p>The specialisation in Prescribing comprises:</p>

<ul>
<li>An advanced taught course covering principles of prescribing (30 points)</li>
<li>A prescribing practicum, which is an experiential placement where you will develop experience in prescribing under the overarching guidance of a designated medical prescriber (30 points).</li>
</ul>

<p>The PGCertClinPharm must be completed in one semester if enrolled full-time or within two years if enrolled part-time.</p>



    
    


        </div>",Grafton,Medical and Health Sciences,This certificate is designed for registered pharmacists working in an interprofessional healthcare environment. It equips pharmacists with advanced skills in the acquisition and evaluation of medicines information and clinical evidence.,Postgraduate Certificate in Clinical Pharmacy ,"<div class=""text"">
            




    
    
        <ul>
<li>60-point programme</li>
<li>Advanced core courses include medicines information and management, critical appraisal and pharmaceutical care (60 points)</li>
</ul>

<p><b>Prescribing</b></p>

<p>A specialisation in Prescribing is also available and has different requirements and courses. You will need to have already completed a Postgraduate Diploma in Clinical Pharmacy or an equivalent qualification to gain entry. </p>

<p>The specialisation in Prescribing comprises:</p>

<ul>
<li>An advanced taught course covering principles of prescribing (30 points)</li>
<li>A prescribing practicum, which is an experiential placement where you will develop experience in prescribing under the overarching guidance of a designated medical prescriber (30 points).</li>
</ul>

<p>The PGCertClinPharm must be completed in one semester if enrolled full-time or within two years if enrolled part-time.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-certificate-in-clinical-pharmacy-pgcertclinpharm.html,NZD,Postgraduate,"4,730.40",False,,half year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,28","march,february","22,155","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4> </h4>
    </div>
</div>



<div class=""text"">
    <p><b>English language requirements</b></p>

<p>If you are an international applicant whose first language is not English you will need to provide evidence of your English proficiency.</p>


<p>You will require an <b>IELTS Academic</b> score of 6.5 with no bands less than 6.0. <a href=""https://www.auckland.ac.nz/en/study/applications-and-admissions/entry-requirements/postgraduate-entry-requirements/postgraduate-english-language-requirements.html"">See alternative English language requirements</a>.</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
1,december,"<div class=""text"">
            




    
    
        <p><b>Requirement:</b></p>

<ul style=""list-style-position: inside;"">
<li>210 points: MAORIHTH 701, NURSING 742, 746, 780, 787, NURSPRAC 721, 722<br>
</li>
<li>30 points: NURSING 789 Research Project</li>
</ul>

<p>Students will complete four semesters of the specified programme with concurrent clinical placements (minimum of 1,100 hours to meet Nursing Council of New Zealand requirements) in two years full time study:</p>

<ul style=""list-style-position: inside;"">
<li>Year 1 – Semester 1 (total 60 points): NURSING 787 – Fundamentals of Nursing Care (30 points), NURSING 742 – Biological Science for Practice (30 points);<br>
Semester 2 (total 60 points): NURSPRAC 721 – Integrative Nursing Practice (45 Points), MAORIHTH 701 – Foundations of Maori Health (15 points)</li>
<li>Year 2 – Semester 1 (total 60 points): NURSING 780 – Mental Health and Addictions Nursing (30 points), NURSING 746 – Evidence Based Nursing and Implementation (30 Points)<br>
Semester 2 (total 60 points): NURSPRAC 722 – Transition to Professional Nursing Practice (30 points), NURSING  789 – Research project (30 points)</li>
</ul>

<p> </p>



    
    


        </div>",Grafton,Medical and Health Sciences,The two-year (240 point) Master of Nursing Science will fast-track your masters qualification and eligibility to become a registered nurse in New Zealand.,Master of Nursing Science ,"<div class=""text"">
            




    
    
        <p><b>Requirement:</b></p>

<ul style=""list-style-position: inside;"">
<li>210 points: MAORIHTH 701, NURSING 742, 746, 780, 787, NURSPRAC 721, 722<br>
</li>
<li>30 points: NURSING 789 Research Project</li>
</ul>

<p>Students will complete four semesters of the specified programme with concurrent clinical placements (minimum of 1,100 hours to meet Nursing Council of New Zealand requirements) in two years full time study:</p>

<ul style=""list-style-position: inside;"">
<li>Year 1 – Semester 1 (total 60 points): NURSING 787 – Fundamentals of Nursing Care (30 points), NURSING 742 – Biological Science for Practice (30 points);<br>
Semester 2 (total 60 points): NURSPRAC 721 – Integrative Nursing Practice (45 Points), MAORIHTH 701 – Foundations of Maori Health (15 points)</li>
<li>Year 2 – Semester 1 (total 60 points): NURSING 780 – Mental Health and Addictions Nursing (30 points), NURSING 746 – Evidence Based Nursing and Implementation (30 Points)<br>
Semester 2 (total 60 points): NURSPRAC 722 – Transition to Professional Nursing Practice (30 points), NURSING  789 – Research project (30 points)</li>
</ul>

<p> </p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-nursing-science-mnsc.html,NZD,Postgraduate,,True,2,years,year,2020,6.0,6.5,6.0,6.0,6.0,"1,28","march,february",,"<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 240 points</h4>
    </div>
</div>



<div class=""text"">
    <p>The MNSc is designed for students with a relevant undergraduate degree (BHSc or BSc) with a GPA of 5.0 or higher in 75 points above Stage II. </p>

<p>Applicants will also be required to consent to a disclosure of criminal convictions and safety checks required by the Children’s Act 2014 to ensure they meet the requirements of the Health Practitioners Competence Assurance Act 2003.<br>
</p>



</div></div>",50,58,50,50,50,Full Time,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p>The programme comprises coursework (90 points) and a dissertation (30 points), which are completed over one year of full-time study or two years of part-time study.</p>

<p>The coursework includes a core course in research methods, plus a further five courses in property that cover topics such as valuation, market behaviour, international property markets, market analysis, property finance and investment, GIS and property analysis. </p>



    
    


        </div>",City,Business School,If you have achieved consistently high grades in your Bachelor of Property degree you could be eligible for entry to the honours programme. It will provide you with an additional year of postgraduate research-based study to develop your analytical skills and critical thinking.,Bachelor of Property (Honours) ,"<div class=""text"">
            




    
    
        <p>The programme comprises coursework (90 points) and a dissertation (30 points), which are completed over one year of full-time study or two years of part-time study.</p>

<p>The coursework includes a core course in research methods, plus a further five courses in property that cover topics such as valuation, market behaviour, international property markets, market analysis, property finance and investment, GIS and property analysis. </p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-property-honours-bprophons.html,NZD,Postgraduate,"9,524.40",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","36,787","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 120 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have completed a BProp with a GPA of at least 5.0 in the Stage III courses required for the major.</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
8,december,"<div class=""text"">
            




    
    
        <p>In your first year of study, you’ll be introduced to design methods, processes and rationale. You will also investigate design as a driver and responder to social needs in both contemporary and historic contexts.</p>


<p>Throughout your degree, you will build a personalised study plan around your Stage II compulsory courses, selecting your electives from four <a href=""https://www.auckland.ac.nz/en/creative/study-with-us/study-options/design-themes.html"">design themes:</a></p>

<ul style=""list-style-position: inside;"">
<li>Design and Local Community Practices<br>
</li>
<li>Design and Global Challenges<br>
</li>
<li>Design and Business<br>
</li>
<li>Design and Emerging Technologies<br>
</li>
</ul>

<p>You can choose to focus on one or two design themes, or you can mix and match courses to suit your experience and developing interests.</p>

<p>In your final year, you will undertake a capstone design research project, working from the initial discovery phase right through to testing and implementation. This will be supported by a course aimed at advancing your understanding of design research methodologies. You will document your creative process in your project report.</p>

<p>The broad structure of the programme is:</p>

<ul style=""list-style-position: inside;"">
<li>Seven core courses: DESIGN 100, 101, 200, 201, 300, 301, 302 (165 points)</li>
<li>Nine elective courses from your chosen design themes: DESIGN 210-243 (135 points)</li>
<li>Two General Education courses (30 points)</li>
<li>Two additional elective courses from this degree or other bachelors degrees (30 points)</li>
</ul>



    
    


        </div>",City,Creative Arts and Industries,"The world is changing, almost faster than we can keep up with. While we can’t accurately imagine future realities, we can develop skills that will help us adapt to them.",Bachelor of Design ,"<div class=""text"">
            




    
    
        <p>In your first year of study, you’ll be introduced to design methods, processes and rationale. You will also investigate design as a driver and responder to social needs in both contemporary and historic contexts.</p>


<p>Throughout your degree, you will build a personalised study plan around your Stage II compulsory courses, selecting your electives from four <a href=""https://www.auckland.ac.nz/en/creative/study-with-us/study-options/design-themes.html"">design themes:</a></p>

<ul style=""list-style-position: inside;"">
<li>Design and Local Community Practices<br>
</li>
<li>Design and Global Challenges<br>
</li>
<li>Design and Business<br>
</li>
<li>Design and Emerging Technologies<br>
</li>
</ul>

<p>You can choose to focus on one or two design themes, or you can mix and match courses to suit your experience and developing interests.</p>

<p>In your final year, you will undertake a capstone design research project, working from the initial discovery phase right through to testing and implementation. This will be supported by a course aimed at advancing your understanding of design research methodologies. You will document your creative process in your project report.</p>

<p>The broad structure of the programme is:</p>

<ul style=""list-style-position: inside;"">
<li>Seven core courses: DESIGN 100, 101, 200, 201, 300, 301, 302 (165 points)</li>
<li>Nine elective courses from your chosen design themes: DESIGN 210-243 (135 points)</li>
<li>Two General Education courses (30 points)</li>
<li>Two additional elective courses from this degree or other bachelors degrees (30 points)</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-design.html,NZD,Undergraduate,"8,325.60",False,3,years,year,2020,5.5,6.0,5.5,5.5,5.5,"1,28","march,february","37,984",,42,50,42,42,42,Full Time,,21,80,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p><b>180 point masters</b></p>


<ul>
<li>Enter from a postgraduate certificate or a Bachelor of Nursing with a GPA of 5 or higher and hold current registration as a registered nurse.</li>
<li>A Clinical Project and at least 30 points from two core courses: Evidence-based Practice and Implementation, and Clinical Reasoning in Pharmacotherapeutics.<br>
</li>
<li>Advanced level courses listed in the <a href=""https://www.fmhs.auckland.ac.nz/en/faculty/for/future-postgraduates/postgraduate-study-options/programmes/masters/master-of-nursing/master-of-nursing-schedule.html"">Master of Nursing Schedule</a> (120 points).</li>
<li>Complete in three semesters if enrolled full time or twelve semesters if part time.</li>
</ul>



    
    


        </div>",Grafton,Medical and Health Sciences,"If you are a registered nurse wanting to upskill, the Master of Nursing Practice is the ideal programme for advancing your career opportunities.",Master of Nursing Practice ,"<div class=""text"">
            




    
    
        <p><b>180 point masters</b></p>


<ul>
<li>Enter from a postgraduate certificate or a Bachelor of Nursing with a GPA of 5 or higher and hold current registration as a registered nurse.</li>
<li>A Clinical Project and at least 30 points from two core courses: Evidence-based Practice and Implementation, and Clinical Reasoning in Pharmacotherapeutics.<br>
</li>
<li>Advanced level courses listed in the <a href=""https://www.fmhs.auckland.ac.nz/en/faculty/for/future-postgraduates/postgraduate-study-options/programmes/masters/master-of-nursing/master-of-nursing-schedule.html"">Master of Nursing Schedule</a> (120 points).</li>
<li>Complete in three semesters if enrolled full time or twelve semesters if part time.</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-nursing-practice-mnursprac.html,NZD,Postgraduate,"8,701.20",False,,Varies,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","44,310","<div>


<div class=""uoa-form"">
    <div class=""uoa-form__elt uoa-form__radio"">
        <div class=""text"">
            <h4>Select your study option:</h4>
        </div>
        <div class=""uoa-form__radios"">
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Taught 120 points"" checked>
                Taught 120 points
            </label>
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Taught 180 points"">
                Taught 180 points
            </label>
            
            
        </div>
    </div>

    
</div>

<div id=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"">
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <p>You must have completed a Bachelor of Nursing (Honours) or a Postgraduate Diploma in Health Sciences in Advanced Nursing with a GPA of 5.0 or higher.</p>

<p>You also need to have current registration as a registered nurse in New Zealand and have at least two years of post-registration clinical practice experience.</p>



        </div>
    </div>
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <p>You must have completed a Bachelor of Nursing with a GPA of 5.0 or higher in 120 points above Stage II.</p>

<p>You also need to have current registration as a registered nurse in New Zealand and have at least two years of post-registration clinical practice experience.</p>



        </div>
    </div>
    
    
</div>

</div>",50,58,50,50,50,Both,,21,90,21,21,21
